f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
1507,512,605,473,95,9,504,417,304,27,247,43
0,0,0,0,0,0,0,0,0,0,0,0
3699,3339,994,4060,2158,597,2115,2086,3960,2108,2286,5827
198,109,175,82,123,226,27,162,34,253,90,26
9,13,5,4,5,3,0,13,12,2,10,14
0,0,0,0,0,0,0,0,0,0,0,1
9,15,5,6,5,3,0,20,21,2,11,15
2,3,3,0,1,1,1,1,2,2,2,1
0,3,4,1,0,0,0,3,1,1,0,1
0,1,0,1,0,0,0,3,1,0,0,0
0,3,0,0,0,0,0,0,1,0,0,0
566,1583,541,481,770,247,270,1802,1053,782,889,1163
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
22,33,18,24,33,55,0,67,41,40,116,16
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,2,0,0,0,6,0,0,4
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,0,3,8
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,1,2,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
56,103,49,30,22,107,15,62,44,38,41,384
259,331,175,137,70,310,19,257,261,96,302,102
1825,1072,1409,1273,418,1712,848,863,1202,769,1589,777
7,3,3,3,0,6,0,7,3,10,5,5
3279,3147,1780,3794,1824,3888,678,2878,3468,4248,5777,1183
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,0,1,0,0,1,13
0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
10,24,13,14,3,10,4,14,10,5,25,13
0,2,0,1,1,1,0,0,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,1,1,1,0,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
39,271,30,18,58,16,38,218,222,10,249,43
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
6,4,5,3,3,5,1,2,7,0,5,9
1,2,0,0,3,2,0,1,0,0,1,0
409,438,940,522,256,480,262,947,884,87,726,513
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
4,2,1,1,0,0,0,8,2,3,0,2
4,17,4,3,3,1,1,20,10,6,9,1
401,467,210,320,341,682,486,520,162,509,439,376
372,494,223,220,319,126,253,1201,608,525,349,243
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,3,1,6,1,4,2,4,1
0,0,0,1,0,1,0,0,0,0,1,1
4,4,1,4,1,5,1,3,5,0,3,6
17,13,4,19,6,22,18,6,13,2,19,21
5,2,0,3,3,3,6,0,1,0,4,2
527,617,679,433,239,506,324,278,361,328,292,200
1066,1671,1290,1631,612,1323,576,824,1424,732,1153,852
62,23,83,16,12,39,104,7,14,106,16,8
26,33,31,13,8,29,14,14,9,43,20,11
7,4,3,1,0,5,0,2,1,4,4,2
3,4,2,10,1,10,0,2,2,5,9,2
39,32,71,30,12,39,17,29,30,58,30,35
7,12,8,10,1,17,2,6,8,9,9,7
38,39,85,24,16,29,4,20,25,38,30,12
10,10,9,11,5,15,4,2,7,9,12,5
36,44,35,24,19,37,3,17,25,22,31,18
1059,1904,1032,1125,618,1215,313,906,1456,1430,1338,1333
3771,3079,3382,2281,1224,2743,1273,1503,1981,4146,2184,1604
1476,2073,1499,1634,882,2221,402,1295,1865,936,1762,1392
1442,1683,1619,1460,837,2541,498,1211,1568,839,1602,1056
0,0,0,1,0,0,0,0,0,0,0,1
12,16,75,18,29,4,11,19,37,2,47,39
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
20,10,7,6,4,33,17,8,13,6,0,4
978,1392,1323,1094,525,577,366,1321,1346,538,1130,927
1588,1588,1430,1298,1325,1622,3510,2126,1526,2407,2323,731
0,1,2,0,0,1,0,0,1,73,2,1
1,0,0,2,0,0,32,0,0,1,0,2
29,4,17,15,3,9,130,3,10,62,4,8
0,0,0,0,0,0,0,0,1,0,0,0
13,5,5,5,1,2,0,12,22,0,2,6
1585,2113,1651,2050,648,1805,763,926,1838,1735,2266,1506
1129,924,1040,582,323,1218,701,511,478,696,672,533
1,0,0,0,0,0,0,1,0,0,0,0
137,356,290,242,184,225,132,568,360,185,345,698
0,1,1,0,0,0,0,0,0,0,0,3
54,127,40,114,40,56,56,128,135,65,103,300
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
33,44,39,60,36,35,30,77,71,49,64,164
436,2675,292,974,1886,707,225,2463,4522,967,3669,8249
2,12,0,2,2,5,1,1,5,2,3,4
13,189,15,81,153,46,1,152,350,27,235,538
3540,2274,3191,1611,1683,2704,2928,1923,1536,2249,2076,1971
44,77,49,71,27,16,68,45,42,23,42,80
0,0,0,0,0,0,0,1,0,0,0,0
1,3,0,0,0,0,0,2,3,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1
0,3,1,1,0,0,0,3,4,0,1,3
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,1,2,0,0,0,0,0
1670,2097,3166,1935,1325,2334,1326,2797,1879,1362,2545,2769
6720,2630,2993,4663,1640,1406,995,4645,1500,2878,2620,4019
15,2,0,8,0,2,0,12,3,0,1,14
9,2,3,7,1,0,1,4,1,0,0,2
0,0,0,3,7,0,0,0,1,0,0,1
955,2004,834,12411,2823,560,1103,3028,2821,365,1647,4947
45,30,25,54,18,11,24,33,26,10,30,44
0,0,0,0,0,1,2,0,1,1,2,1
0,0,0,0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,2
769,1072,847,1217,409,1325,297,650,810,294,1032,579
1320,2224,1626,2689,1157,1660,574,1629,1918,877,2076,2036
0,1,0,0,0,1,0,0,0,0,0,1
1045,2006,2364,1687,1066,1740,581,2162,2300,1431,2184,2425
0,0,0,0,0,0,0,0,1,0,0,0
1,3,0,4,4,2,0,7,10,0,4,28
276,1241,263,726,631,289,238,1326,1373,171,697,3814
417,778,247,330,290,184,172,588,727,167,571,1678
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
342,604,456,550,224,74,270,850,549,147,550,961
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,6,5,3,3,2,3,3,11,4
60,0,0,19,0,0,0,0,1,104,1,0
0,0,0,0,0,0,0,0,0,0,0,0
4,3,11,4,0,3,9,3,4,21,10,1
5,41,4,5,7,6,14,6,13,0,6,25
0,0,0,0,0,0,0,0,0,0,0,0
102,671,112,180,161,120,46,641,677,19,424,1425
73,307,114,74,55,75,65,334,213,29,146,539
7857,14391,9549,51640,2401,39,2352,289,1150,94,82,894
6,5,7,0,0,1,21,1,0,1,1,1
99,166,42,999,28,2,45,4,20,3,2,19
0,0,0,0,0,0,0,0,0,0,0,0
1,12,1,460,0,6,0,7,9,0,12,6
0,0,0,0,0,0,0,0,0,0,0,0
68,152,31,170,179,161,44,238,296,74,347,381
0,1,0,2,0,0,6,0,6,0,2,603
345,280,375,483,312,91,515,189,790,16,135,2779
0,0,0,0,0,0,0,0,0,0,0,0
181,44,481,58,184,61,138,98,31,24,30,140
0,1,3,1,0,0,7,0,1,0,0,0
7,7,3,4,6,22,33,6,6,9,20,13
155,768,249,576,306,381,34,673,768,59,698,2124
2027,5861,3541,4214,2783,3485,979,5770,6314,834,5720,17277
286,560,184,293,151,291,297,470,133,146,391,190
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
980,1010,118,1387,652,116,959,368,539,154,71,943
2135,4067,2316,3534,1574,2942,1134,2704,3209,2192,3116,3183
18,9,5,20,8,6,31,4,14,1,8,11
6358,13883,17731,13110,5906,4882,3030,11960,9356,3582,15112,5465
0,0,0,0,0,0,0,0,0,0,0,0
371,1149,56,713,256,24,182,1321,3335,71,247,208
0,0,0,0,1,0,0,1,1,0,0,0
0,7,0,0,4,2,0,6,8,0,1,0
0,7,1,3,3,0,0,2,0,0,0,5
2,18,1,1,15,0,6,4,6,2,0,22
3,9,0,97,0,0,2,1,274,0,2,26
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,41,3,25,44,81,85,476,62,57,208,0
3752,1927,85,286,523,17,0,504,833,212,479,1
3,12,0,2,2,2,0,5,6,0,11,2
177,129,3,27,56,3,1,66,62,7,30,10
746,470,38,618,497,15,41,300,537,40,12,102
61,39,6,434,43,4,18,46,285,2,273,55
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,14,0
3245,2332,1388,729,482,211,81,7838,859,400,866,7
0,0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,2,0
124,807,833,262,204,310,86,260,239,142,130,392
1015,956,1428,875,614,716,468,1088,912,1082,594,769
0,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,2,0,0,0
0,1,0,0,0,0,0,2,1,0,0,0
2,2,0,0,4,1,0,0,0,0,1,0
0,2,0,1,0,0,0,2,0,0,4,0
0,0,0,1,0,0,0,0,1,0,4,0
0,0,0,0,0,0,0,0,0,0,1,0
503,1263,1240,1351,559,570,250,981,1361,143,1075,2181
0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,1,2,1,0,2,3,0,6,5
0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,1,0,0,0,0,1,0
473,1115,1059,360,779,2324,245,787,1961,824,2101,2325
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
3,5,2,4,1,10,0,1,21,12,11,35
149,94,24,37,94,116,34,36,134,80,161,400
1260,1601,978,1059,1948,374,939,1298,2345,1043,1091,2619
6,5,0,5,5,2,5,4,6,2,9,0
665,923,270,620,419,117,418,598,472,345,169,1107
5,3,0,8,0,1,0,1,2,0,0,1
3,3,0,3,0,0,0,4,0,0,0,0
359,259,41,218,250,57,196,263,211,511,73,432
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,9,16,1,4,9,34,2,1,4
419,909,906,963,468,89,312,334,797,322,1264,898
307,332,394,286,230,207,238,363,272,233,302,426
1895,2764,3608,2206,1951,1898,1031,2024,2028,865,2586,1514
130,252,198,194,172,151,28,169,198,52,241,169
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,1,0,3,0,2,6,1,2,1
57,82,47,38,22,79,20,71,33,37,73,38
98,294,96,191,79,290,14,258,144,37,335,170
314,647,89,2042,372,361,108,995,1682,189,1714,1814
20,4,4,5,12,3,12,8,13,9,4,153
115,222,240,204,35,253,45,86,139,29,265,162
1,8,5,21,7,12,1,1,18,3,7,4
1031,1233,627,876,719,744,300,717,771,470,898,1359
392,810,521,697,334,530,197,567,782,226,1069,607
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0
7,11,1,8,13,5,18,17,9,5,15,9
8,8,2,2,0,17,33,3,7,3,4,1
7,21,4,17,7,15,1,35,16,6,7,8
1132,581,602,604,477,811,1322,560,447,2114,1015,804
1973,785,1882,693,509,492,707,1222,1053,660,2542,510
142,27,10,18,15,2,11,13,19,2,8,22
0,0,0,0,4,0,0,0,0,0,0,0
1232,3090,2444,3064,1274,2215,665,1910,2692,1117,2715,2398
137,267,174,246,205,183,24,200,228,105,242,359
1944,3521,2569,2429,3206,1858,937,2448,2347,4246,2501,8047
489,1806,690,1791,584,793,268,938,1454,284,1622,1030
0,0,0,0,0,0,0,0,0,0,0,0
1498,3806,1860,3387,1051,1350,717,2380,2993,430,3406,3628
41,78,39,68,33,28,21,27,57,16,57,58
1830,3235,1474,2348,1690,1806,991,3383,3029,1297,2193,4414
502,1304,1294,1068,443,555,333,641,866,123,899,122
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1766,1924,2930,2282,1658,1811,902,1219,1509,1036,2078,1071
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,7,3,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
11,17,10,17,2,34,17,8,7,18,17,30
70,334,101,115,92,224,129,360,310,41,297,1569
2145,4784,2675,2051,1715,1064,464,4534,3083,719,2585,6419
0,0,0,0,0,0,0,0,1,0,0,0
707,902,923,320,455,408,759,873,677,674,677,930
20,171,17,106,110,35,18,147,289,26,126,2421
0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,2,1,2,1,4
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,0,1,0,3,4,2,5,8,11
8,24,8,3,20,0,1,27,9,2,49,53
16,38,6,11,49,6,24,33,68,23,37,104
17,18,10,14,26,5,25,37,37,17,50,128
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
248,222,2,82,75,19,47,77,30,3,21,25
0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,0,0,0,0,0,0,0,35,0
32,8,7,2,2,1,8,6,3,3,162,2
238,726,188,290,411,200,43,646,675,416,927,187
1,1,0,2,0,1,0,0,2,0,2,9
1,0,0,0,0,0,0,0,0,0,0,2
1010,1642,1482,1476,941,842,555,2159,2821,625,2219,31195
921,1627,2455,1506,983,1811,863,1471,1775,591,1670,12890
1,1,1,5,0,2,0,1,1,0,0,4
2,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1274,1686,2603,1340,801,988,655,1162,1350,963,1577,1959
1101,1352,1830,1077,661,768,570,989,1075,784,1355,1268
255,384,272,266,247,222,95,208,142,116,290,178
744,639,1667,471,498,779,997,342,336,441,901,474
6,5,5,6,2,22,19,5,9,22,24,2
89,78,19,52,75,61,41,72,198,250,216,2429
385,549,696,236,501,199,234,450,2527,805,652,73498
912,830,1464,643,1079,1539,1647,413,1020,1876,1667,2437
844,764,1453,601,1015,1497,1613,353,850,1651,1483,243
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,2,0,0,0,1,1,0,1,4
731,2286,1245,2023,869,680,496,1659,2175,388,1305,8186
39,11,22,32,26,49,27,19,29,29,19,4
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0
1891,3018,3051,2384,1509,2488,504,2314,2338,1829,3717,1896
273,181,388,127,71,230,147,86,89,157,113,78
1513,2894,2673,1890,1192,2282,486,1691,1623,1030,2227,1477
1698,956,1866,930,1297,1636,1258,1085,903,2505,1793,1096
1921,2946,4071,1922,1414,2287,1143,2298,2068,1531,2868,4053
657,658,79,249,118,65,279,476,205,428,93,171
2,1,7,2,1,5,4,0,3,4,2,6
1,0,1,1,0,0,0,0,1,0,0,1
11,29,4,53,7,20,0,41,43,3,41,60
251,431,474,398,300,428,95,387,424,190,638,963
1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,6,0,1,0,3,2,0,0,0
28,16,66,22,14,66,49,32,27,22,21,47
19,11,5,15,4,19,32,14,9,10,20,16
0,0,0,0,0,1,0,0,3,0,3,0
0,0,0,0,0,3,0,1,4,0,3,1
2,23,1,10,1,9,2,8,9,1,25,7
1079,707,1681,643,724,1655,835,1010,696,866,1125,415
0,0,0,0,0,0,0,0,0,0,0,0
34,34,131,28,9,62,13,70,93,32,239,523
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,6,1,1,0,3,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,0,0,2,0,4,0,0,1,15
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,14,2,0,9,4,1,7,34
22,127,175,61,103,108,25,358,77,77,181,1008
27,15,19,6,115,3,33,22,12,6,6,5
62,124,56,61,40,86,131,56,44,72,38,58
637,1147,718,625,634,970,293,1006,413,961,521,499
45,19,97,24,37,7,15,26,41,21,15,12
0,0,1,1,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23,10,34,0,14,17,12,5,15,3,26,11
6,12,5,11,11,35,16,3,26,13,24,27
1,5,0,2,0,3,0,1,11,2,8,1
0,0,0,0,0,1,0,0,1,0,0,1
2,1,0,1,3,1,0,0,1,0,0,0
2,3,1,1,2,7,0,3,1,2,0,1
808,1489,1338,1327,907,930,478,1029,1224,619,1015,961
15,4,7,0,1,0,7,2,0,0,0,0
0,1,2,0,4,5,0,0,1,3,1,1
286,516,234,448,165,308,256,409,586,689,235,527
0,0,0,0,0,0,0,0,2,0,0,0
2,9,0,4,5,6,0,4,5,0,9,8
1,1,0,2,1,1,0,0,1,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0
669,1694,1085,2079,666,959,504,1278,1078,380,1245,939
0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,9,5,0,0,57,0,1,0,0
6,292,130,37,131,13,65,123,161,30,355,1715
4373,4634,1685,2243,3465,943,1717,9685,6435,9761,2768,9021
0,0,0,0,0,0,0,1,0,0,0,4
0,2,0,0,0,0,0,1,0,0,0,19
520,641,357,839,377,1008,780,250,276,770,1119,597
573,1370,765,1063,770,1060,355,1074,1155,1091,1311,1463
132,446,285,307,331,269,81,413,498,191,403,670
952,1566,2570,1101,1420,1246,1011,1584,1760,1262,1279,2389
0,6,0,3,0,1,0,2,3,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,1,0,2
0,0,2,2,0,4,0,0,7,1,4,0
0,0,3,0,0,1,0,0,1,0,0,3
3,5,0,3,0,1,0,7,3,1,1,6
0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
3123,7047,3049,2180,433,2575,1215,6538,804,1158,1553,811
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,3,4,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,0
47,145,89,39,26,19,21,311,85,58,56,48
0,0,0,0,4,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,1,0,0,1,0
802,1196,826,1237,814,1238,393,744,1113,905,1155,912
13,9,34,2,9,23,12,16,11,21,7,8
1706,1603,2116,1428,1456,2847,750,1918,1658,2374,2609,1764
3,0,0,0,2,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0
129,2,1,7,3,13,7,7,4,7,5,4
11,4,0,5,3,2,0,1,5,1,4,5
0,0,1,0,0,0,0,0,0,0,1,0
452,369,125,256,534,282,370,600,336,1129,782,170
1266,2282,1033,1449,1263,4082,803,2050,2761,1078,3862,2856
0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
130,222,110,117,257,214,103,250,387,249,328,345
1,0,0,0,0,0,0,0,0,0,0,0
4466,6230,8238,5610,3767,5778,1733,6145,5328,4933,7218,5058
2541,3073,1498,1919,1869,3074,909,2311,3254,2222,3388,10265
14445,22128,7767,5564,31141,9717,13749,23327,34228,38939,26366,24316
1635,1977,1290,872,1845,1187,1379,2450,3215,2137,1915,3444
8175,8553,5828,3155,11113,5232,10291,10358,13942,19754,12637,11949
0,0,0,0,0,0,0,0,1,0,1,1
905,1465,1011,1468,1016,1031,852,1376,1436,1103,1674,2072
206,312,585,266,140,232,113,222,290,162,443,409
2,6,0,1,4,1,2,0,3,6,4,9
1408,3543,1351,2492,2209,1183,1316,3541,4658,1813,4082,5265
0,0,0,3,0,1,0,0,1,0,2,2
1,0,2,0,0,1,1,0,0,0,3,0
1039,1311,1416,2041,725,1623,872,1111,1480,1015,1397,1451
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,15,14,2,34,3,0,27,38,254,96,42
1,1,1,1,0,0,2,0,0,0,0,1
21,7,6,13,10,5,1,3,17,19,3,42
484,443,193,300,537,357,178,684,530,1685,456,894
69,127,25,95,186,115,2,236,184,244,166,305
755,929,302,614,1105,779,268,1548,1169,2800,1087,1859
334,832,2043,542,681,247,266,1215,550,3351,1932,18
1035,1303,194,957,597,146,473,1371,673,465,318,1846
0,0,0,0,0,0,0,0,0,0,0,0
4,30,2,6,7,0,7,16,12,11,0,9
7,2205,5,552,4782,163,14,348,724,4201,62,6
48,354,45,124,425,391,46,414,841,93,789,4824
4,30,5,18,10,0,0,58,44,3,5,192
1,1,0,1,0,0,1,0,1,0,0,2
397,362,17,197,275,52,217,139,207,287,43,397
542,745,2257,975,545,224,234,721,586,548,618,154
277,813,2211,956,1054,260,168,2471,888,333,690,388
2,3,7,1,9,1,10,4,3,2,0,3
1659,622,47,472,562,61,349,155,196,99,5,180
0,0,0,0,0,0,0,0,0,0,0,0
566,213,17,131,188,26,184,65,76,71,3,59
243,241,2,142,98,17,45,38,55,19,1,46
2539,5684,6438,4251,2436,3295,1351,3890,4762,2295,5196,5132
3115,3288,6382,2190,2483,3558,1944,2775,2796,3366,3160,3016
0,0,0,1,0,0,0,0,0,1,1,1
5464,3926,7372,3373,4694,6707,4656,3772,3898,6505,6238,4980
0,1,2,1,0,3,0,3,1,1,0,0
2133,5698,3353,5645,2674,3013,1026,3778,5628,1302,5613,6888
117,206,40,116,43,81,486,68,115,37,304,153
