f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
817,1493,1215,857,643,2515,1183,954,1051,2498,2073,829
5,14,0,20,4,33,17,9,18,4,24,8
3216,3057,5090,2159,1877,6057,4247,2080,2981,8686,5193,2348
117,143,137,32,46,218,86,54,115,160,137,41
92,454,544,284,202,13,1042,231,379,165,117,747
2,18,16,15,5,1,38,3,6,2,2,6
0,0,1,2,1,0,2,1,2,0,0,0
17,32,87,26,6,22,340,27,34,25,8,36
1837,3121,10717,2450,2617,7168,7492,5671,6839,8372,4508,2398
108,898,1188,118,72,323,1060,745,842,1448,91,43
698,719,624,660,213,2108,1120,429,1044,1833,744,447
1155,1064,1319,1135,720,3332,1136,1385,2373,3801,3225,809
5,16,8,8,30,155,21,42,45,112,24,44
5377,5478,8664,4256,2520,8179,5675,4080,5643,9585,9675,5632
36,26,68,10,22,40,52,13,35,14,93,34
0,0,0,0,0,0,0,0,0,0,0,0
290,432,586,432,301,1328,2668,598,364,3354,711,90
145,163,179,331,133,672,443,164,257,281,519,239
488,564,409,559,396,3720,1598,730,1502,1650,1273,1122
6,5,7,18,20,163,42,15,47,59,9,42
2295,2311,1859,1919,1340,7095,2225,1775,3352,2819,4951,2541
294,440,504,209,115,792,241,228,383,87,723,265
43,123,40,69,52,292,21,19,79,13,191,79
4178,6208,6843,4167,1928,19308,3592,2655,6122,2249,13714,4982
60,14,12,39,83,511,186,85,139,175,36,202
1729,1573,1055,1038,721,4840,1276,594,2109,1290,2573,1329
445,767,398,458,155,1728,127,88,482,292,1201,581
1786,1661,1171,1078,697,4910,1243,554,2115,1193,3072,1398
355,558,244,371,92,1145,148,109,665,84,1359,507
3571,3988,3822,2934,1927,5443,2810,3124,4764,5096,6359,7381
16876,28602,31360,19562,12470,36051,11994,21871,33444,21415,57402,22022
23,13,3,13,5,19,48,8,6,4,43,51
10,14,5,8,8,26,624,4,24,19,40,5
96,76,411,74,22,62,216,25,18,160,74,64
4,12,76,3,22,81,103,34,11,8,30,0
9,28,4,0,6,54,0,18,24,14,69,0
111,166,149,37,357,1041,106,196,328,341,859,3
0,0,2,1,0,0,8,0,0,3,0,0
29,59,46,37,20,108,24,47,57,33,98,1
55,62,58,69,35,254,51,43,148,130,162,47
937,1115,1446,750,571,2365,1493,1089,1247,1583,1929,113
2291,1079,2317,915,1105,3312,3826,2093,2003,7117,3156,1062
1,2,1,2,2,5,4,3,2,3,3,9
2920,4358,4268,3264,2678,4518,1425,6933,6303,1956,7092,9825
7,5,0,2,1,10,1,1,4,2,11,0
64,45,90,72,36,117,122,29,177,47,172,39
29,21,24,15,1,49,40,6,13,18,17,7
327,306,176,299,115,660,471,143,302,258,615,153
7259,8058,9019,4495,4120,12130,8332,5922,9738,11468,11146,6064
2562,2851,3101,2007,1780,6244,3350,2055,3848,4569,4873,3056
1,0,2,0,0,0,0,2,5,1,0,0
0,0,2,0,1,1,0,3,4,0,0,0
71,58,244,27,157,281,1117,183,621,187,214,17
670,883,919,998,538,2155,708,942,1456,1311,1851,1005
1,4,2,7,8,3,5,1,12,5,7,7
29,35,6,72,75,227,332,87,61,609,305,4
187,304,243,484,145,884,578,239,292,528,588,383
1619,1400,1598,2142,849,5154,5286,1344,1597,5073,2715,2116
3,4,3,6,2,5,7,0,5,1,8,6
8,8,1,6,6,5,6,1,7,7,6,9
2112,2386,3592,2270,2078,3415,4178,3821,3508,8744,5679,1000
498,379,694,383,510,854,1265,1192,773,3323,1193,168
1,0,4,2,1,1,17,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0
19,31,57,52,35,9,162,17,46,11,43,24
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14,11,1,8,15,0,12,22,33,27,3,169
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,7,0,0,13,12,3,7,0
38,70,10,47,71,12,6,149,165,12,29,383
556,870,750,1068,315,3298,1366,1458,2390,2096,2606,140
10,7,1,2,0,21,0,1,2,2,6,2
0,0,0,0,0,0,0,0,0,0,0,0
164,1038,168,496,596,1027,758,1155,1820,876,1222,1267
9,20,4,11,7,14,67,3,10,18,15,4
1914,2930,3376,1898,2330,2784,1394,2515,3866,3141,5297,6324
1092,1084,1157,825,508,2547,1264,865,1753,1576,2069,776
4,0,23,1,0,3,2,3,1,0,1,1
1,0,0,0,0,0,7,0,0,0,0,0
355,461,488,25,19,864,326,602,773,913,705,21
6,16,8,4,1,2,10,7,11,12,18,9
630,2286,1316,1395,468,446,1153,1476,1785,1863,3491,1698
8,49,9,38,12,5,0,44,66,27,125,68
99,36,107,56,17,12,409,644,28,193,119,15
2,3,0,5,0,5,2,56,2,2,7,1
78,154,91,119,65,275,76,234,177,121,259,143
2587,3483,4267,2057,1540,4730,2035,4134,3422,2889,5010,2475
1212,2745,2006,1904,791,2325,939,1412,3372,1423,3833,2797
302,468,295,323,121,347,195,303,461,200,474,243
806,1644,750,1095,412,1934,792,1022,1255,844,1997,832
33,26,53,22,15,38,9,8,19,2,46,28
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,4,3,0,1,1,3,2,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
11,38,2,3,37,17,19,143,91,30,149,93
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,1,0,6,0,20,1,1
0,0,0,0,0,0,0,0,0,0,0,0
351,701,391,850,254,1474,388,734,1393,542,1156,616
884,938,290,610,480,537,1023,882,1870,1080,1070,1290
18,14,8,2,3,38,22,14,100,576,12,6
23,9,23,9,14,11,24,11,2,42,45,9
12119,27381,18823,16214,9902,23223,7784,11293,18892,18269,25569,13875
